Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,162,4,Some Random Commen with Id 0
1,0,1,197,2,Some Random Commen with Id 1
2,0,1,49,1,Some Random Commen with Id 2
3,0,1,34,4,Some Random Commen with Id 3
4,0,1,104,5,Some Random Commen with Id 4
5,0,1,158,0,Some Random Commen with Id 5
6,1,1,118,0,Some Random Commen with Id 6
7,1,1,98,4,Some Random Commen with Id 7
8,1,1,132,0,Some Random Commen with Id 8
9,1,1,90,6,Some Random Commen with Id 9
10,1,1,73,1,Some Random Commen with Id 10
11,1,1,15,9,Some Random Commen with Id 11
12,1,1,163,9,Some Random Commen with Id 12
13,3,2,177,2,Some Random Commen with Id 13
14,3,2,173,6,Some Random Commen with Id 14
15,3,2,123,1,Some Random Commen with Id 15
16,3,2,34,5,Some Random Commen with Id 16
17,5,8,197,3,Some Random Commen with Id 17
18,5,8,106,1,Some Random Commen with Id 18
19,5,8,159,5,Some Random Commen with Id 19
20,5,8,190,0,Some Random Commen with Id 20
21,5,8,125,1,Some Random Commen with Id 21
22,5,8,152,5,Some Random Commen with Id 22
23,5,8,128,9,Some Random Commen with Id 23
24,5,8,94,2,Some Random Commen with Id 24
25,5,8,18,2,Some Random Commen with Id 25
26,6,0,173,4,Some Random Commen with Id 26
27,6,0,74,7,Some Random Commen with Id 27
28,6,0,151,8,Some Random Commen with Id 28
29,6,0,192,4,Some Random Commen with Id 29
30,6,0,34,8,Some Random Commen with Id 30
31,6,0,28,9,Some Random Commen with Id 31
32,6,0,39,2,Some Random Commen with Id 32
33,7,2,131,2,Some Random Commen with Id 33
34,7,2,152,4,Some Random Commen with Id 34
35,7,2,66,0,Some Random Commen with Id 35
36,7,2,183,1,Some Random Commen with Id 36
37,7,2,96,0,Some Random Commen with Id 37
38,8,4,175,0,Some Random Commen with Id 38
39,8,4,10,9,Some Random Commen with Id 39
40,8,4,178,8,Some Random Commen with Id 40
41,8,4,154,6,Some Random Commen with Id 41
42,8,4,127,2,Some Random Commen with Id 42
43,8,4,17,8,Some Random Commen with Id 43
44,8,4,163,2,Some Random Commen with Id 44
45,10,8,13,6,Some Random Commen with Id 45
46,10,8,98,3,Some Random Commen with Id 46
47,10,8,102,1,Some Random Commen with Id 47
48,10,8,167,1,Some Random Commen with Id 48
